,label_id,category,not_active_cou,active_cou,all_cou
420,466,cinema,,,
421,467,Musical Instruments,,,
422,468,Beauty salons,,,
423,469,Supermarkets,,,
424,470,Financial Planning Services,,,
425,471,car services,,,
426,472,Auto 4S shop,,,
427,473,tea shop,,,
428,474,Photographic prints,,,
429,475,Cycling Sport,,,
430,476,Wedding services,,,
431,477,KTV service,,,
432,478,Appliance stores,,,
433,479,Philippines,,,
434,480,Tea cups,,,
435,481,Board games and entertainment,,,
436,482,Games,,,
437,483,Gym,,,
438,484,Cleaning Products,,,
439,485,Experience,,,
440,486,Car decoration,,,
441,487,Real Estate Property,,,
442,488,Housing agency,,,
443,489,Florist / Fruit Shop,,,
444,490,Fishing Tackle,,,
445,491,Electric Car,,,
446,492,Personal Care,,,
447,493,Swimming pool,,,
448,494,Video City,,,
449,495,Aftermarket decoration,,,
450,496,Billiard room,,,
451,497,Foot Bath,,,
452,511,Wedding photography,,,
453,512,Pet Services,,,
454,513,Internet cafes,,,
455,514,bank,,,
456,515,Parental photography,,,
457,516,pharmacy,,,
458,517,Supermarket,,,
459,518,teahouse,,,
460,519,Car Rental,,,
461,520,bookstore,,,
462,521,Health Products,,,
463,522,flower shop,,,
464,523,Driving School,,,
465,524,Games deep tags,,,
466,525,Game willingness to pay,,,
467,526,Game amount paid,,,
468,527,Game Frequency,,,
469,528,Game Installation,,,
470,529,Active Games,,,
471,530,High (had paid behavior),,,
472,531,Low (not over charge behavior),,,
473,532,payment 1,,,
474,533,payment 2,,,
475,534,payment 3,,,
476,535,payment 4,,,
477,536,payment 5,,,
478,537,Ultra-high frequency (more than seven consecutive days game behavior),,,
479,538,High Frequency (seven consecutive days there are games behavior),,,
480,539,IF (there are three consecutive days game behavior),,,
481,540,Low Frequency (only recently have the game play a day),,,
482,541,High installation (over 7 games),,,
483,542,The installation (3-7 games),,,
484,543,Low installation (only 1-2 games),,,
485,544,Active high (nearly 30 days played 7 games),,,
486,545,Active in (nearly 30 days played 3-7 games),,,
487,546,Low active (nearly 30 days played 1-2 games),,,
488,547,car brand,,,
491,550,quality,,,
495,554,Reputation,,,
497,556,Irritation / Fun,,,
498,557,natural,,,
501,560,Enthusiasm,,,
502,561,noble,,,
508,567,classical,,,
510,569,Total Cost,,,
511,570,Teahouse,,,
512,571,Toiletries,,,
513,572,Leather Care,,,
514,573,cinema,,,
515,574,Musical instruments,,,
516,575,Indian Express,,,
517,576,Foot Massage,,,
518,577,Experience / DIY,,,
519,578,Medical,,,
520,579,marry,,,
521,580,beauty,,,
522,581,Hairdressing,,,
523,582,financial,,,
524,583,Slim,,,
525,584,Paternity,,,
526,585,Nail,,,
527,586,Beauty SPA,,,
528,587,Early Learning,,,
529,588,medical instruments,,,
530,589,Training institutions,,,
531,590,Exam training,,,
532,591,Device Properties,,,
533,592,Brands,,,
534,608,Equipment category,,,
535,609,Phone,,,
536,610,flat,,,
537,611,Smart TV,,,
538,612,smart watch,,,
539,613,Smart bracelet,,,
540,614,Features,,,
541,615,Music phone,,,
542,616,Beauty phone,,,
543,617,Old machine,,,
544,618,Photography phone,,,
545,619,High-end business phone,,,
546,620,Cost-effective mobile,,,
547,621,screen size,,,
548,622,6.0 inches above,,,
549,623,6.0-5.6 inches,,,
550,624,5.5-5.1 inches,,,
551,625,5.0-4.6 inches,,,
552,626,4.5-3.1 inches,,,
553,627,3 inches and below,,,
554,628,operating system,,,
555,629,iOS,,,
556,630,WP,,,
557,631,Android,,,
558,632,Hardware Features,,,
559,633,8-core chips,,,
560,634,Gyro,,,
561,635,NFC chip,,,
562,636,Dual SIM,,,
563,637,Operators,,,
564,638,operatior 1,,,
565,639,operator 2,,,
566,640,operator 3,,,
567,641,The internet,,,
568,642,WIFI,,,
569,643,4G,,,
570,644,3G,,,
571,645,2G,,,
572,646,unknown,,,
573,647,unknown,,,
574,648,unknown,,,
575,649,unknown,,,
576,650,unknown,,,
577,651,unknown,,,
578,652,shopping center,,,
579,653,language training,,,
580,654,Car Accessories,,,
581,655,pawn shop,,,
582,656,Bath,,,
583,657,Express Inn,,,
584,658,CAR WASH,,,
585,659,General merchandise,,,
586,660,Real Estate Agents,,,
587,661,securities company,,,
588,662,post Office,,,
589,663,SCHOOL,,,
590,664,the University,,,
591,665,dance,,,
592,666,Parenting,,,
593,667,Month Center,,,
594,668,Museum of Traditional Chinese Medicine,,,
595,669,Corporate,,,
596,670,Telecom company,,,
597,671,Travel,,,
598,672,Parent-child's play,,,
599,673,Personalized photo,,,
600,674,Optical Shop,,,
601,675,Star Hotels,,,
602,676,Express,,,
603,677,Logistics companies,,,
604,678,Skills Training,,,
605,679,Concert hall,,,
606,680,Food company,,,
607,681,Insurance company,,,
608,682,car repair,,,
609,683,fingerprint,,,
610,684,City resident,,,
611,685,family,,,
612,686,model,,,
613,687,Other operators,,,
619,693,Resolution,,,
622,696,Intelligent hardware,,,
623,698,unknown,,,
624,699,unknown,,,
625,700,unknown,,,
626,701,unknown,,,
627,702,unknown,,,
628,703,unknown,,,
653,733,B Shares,,,
655,735,N shares,,,
659,739,Mixed Fund,,,
660,740,Bond Fund,,,
661,741,Capital Preservation Fund,,,
662,742,QDII fund,,,
663,743,Commodity Funds,,,
665,745,Index Fund,,,
666,746,Closed-end funds,,,
670,750,Liability,,,
673,753,Guaranteed income,,,
674,754,Non-guaranteed income,,,
684,764,Chattel trust,,,
685,765,Real Estate Trust,,,
686,766,Property Trust,,,
687,767,Intellectual Property Trust,,,
702,784,Higher risk,,,
747,830,Pay,,,
748,831,Not paid the fee,,,
749,832,paid1,,,
750,833,paid2,,,
751,834,paid3,,,
752,835,paid4,,,
753,836,paid5,,,
754,837,paid6,,,
755,838,paid7,,,
765,848,He slightly - Family Life Cycle,,,
766,849,Youth House,,,
767,850,the little sun,,,
768,851,Three Generations of children,,,
769,852,Middle-aged home,,,
770,853,Empty nesters,,,
792,875,Viewing preferences,,,
793,876,physical education,,,
794,877,health,,,
795,878,Public class,,,
796,879,military,,,
797,880,Animation,,,
798,881,Original,,,
799,882,Wonderful,,,
800,883,Olympic,,,
801,884,entertainment,,,
802,885,Children,,,
803,886,advertising,,,
804,887,microfilm,,,
805,888,Funny,,,
806,889,education,,,
807,890,tourism,,,
808,891,Fashion Arts,,,
809,892,fashion,,,
810,893,Mother,,,
811,894,car,,,
812,895,game,,,
813,896,Trailer,,,
814,897,life,,,
815,898,the film,,,
816,899,TV series,,,
817,900,Science and Technology,,,
818,901,Documentary,,,
819,902,Arts,,,
820,903,Lenovo Cooperation,,,
821,904,Talk show,,,
822,905,Finance and economics,,,
823,906,Information,,,
824,907,music,,,
825,908,other,,,
832,920,High-end business aviation,,,
833,921,General Aviation,,,
836,924,Airline Alliances,6.0,,
837,925,airport,27.0,,
840,928,Southeast Asia (aviation),227.0,,
841,929,Japan and South Korea (Air),,,
842,930,"Europe, the United States and Macao (aviation)",56.0,,
843,931,"Hong Kong, Macao and Taiwan (aviation)",229.0,,
859,947,"Hong Kong, Macao and Taiwan (Travel)",56.0,,
873,965,unknown,,,
874,966,BM,,,
875,967,NS,,,
887,979,Dice Game,,,
893,985,Word games,,,
895,987,effort,38.0,,
897,989,Tomb,,,
900,992,trickery,,,
902,994,Journey,,,
907,999,Martial arts,76.0,,
908,1000,Domestic animation,6.0,,
909,1001,Europe and Fantasy,,,
910,1002,Harem,10.0,,
912,1004,Finance,,,
